INV
横峰县国有资产监督管理办公室
武穴市人民政府国有资产监督管理局
蚌埠高新技术产业开发区财政金融局
嘉兴市南湖区国有资产监督管理委员会
威海市文登区国有资产服务中心
英山县人民政府国有资产监督管理局
弥勒市人民政府国有资产监督管理局
龙岩地区国有资产管理局（发起人）
威海市文登区国有资产服务中心
云岩区国有资产管理服务中心
渠县财政局
菏泽鲁西新区财政金融局
泗洪县人民政府国有资产监督管理办公室
铜仁市碧江区国有资产监督管理局100%
枞阳县财政局
绥阳县国有资产监督管理委员会
平和县芦溪镇财政所
吉安市国有资产监督管理委员会
大连金普新区国有资产监督管理局
诸城市国有资产监督管理局
子洲县国有资产事务中心
雅安市政府国有资产监督管理委员会
通榆县国有资产管理服务中心
大方县国有资产管理服务中心
荆州市人民政府国有资产监督管理委员会
济南新旧动能转换起步区管理委员会崔寨街道谷庙村民委员会
新疆维吾尔自治区人民政府国有资产监督管理委员会
德阳市财政局
贵阳市花溪区财政局
高财政
老河口市人民政府国有资产监督管理局
国务院国有资产监督管理委员会物资机关服务中心
临湘市国有资产服务中心
方城县国有资产服务中心
青岛西海岸新区国有资产管理局
黑河市国有资产监督管理办公室
玉溪市红塔区政府国有资产监督管理委员会
新疆生产建设兵团第三师四十一团财政局
望都县财政局
昆明市人民政府国有资产监督管理委员会
开封市财政局
惠州市惠阳区国有资产管理办公室
舟曲县财政局
禹城市国有资产管理局
安图县财政局
海城市财政局（海城市国有资产监督管理局、海城市金融发展局）
樟树市国有资产服务中心
新疆生产建设兵团国有资产监督管理委员会
瓮安县财政局
桦川县财政局（桦川县国有资产管理委员会办公室）
大庆市人民政府国有资产监督管理委员会
上海市虹口区国有资产监督管理委员会（上海市虹口区集体资产监督管理委员会）
临湘市国有资产服务中心
临湘市国有资产服务中心
长岭县国有资产管理中心
凌源市国有资产管理办公室
福建三明埔岭汽车工业园管理委员会
临湘市国资局
罗山县财政局
湖北省人民政府国有资产监督管理委员会后勤服务中心
沙洋县沙洋镇财政所
麻阳苗族自治县财政局
中江县国有资产管理局
镇雄县财政局
拜城县大宛其农场管理委员会
叶城县国有资产管理局
锦州市人民政府国有资产监督管理委员会
武冈市国有资产管理办公室
阜新蒙古族自治县城区街道果园管理委员会
秦皇岛临港物流园区管理委员会
白云区财政局
黑河市国有资产管理委员会办公室
彭泽县国有资产管理局
吐鲁番地区国有资产监督管理委员会
沈阳市苏家屯区商业贸易管理委员会
常德经济技术开发区管理委员会
斗门县白藤农场管理委员会
财政拨款
石嘴山市国有资产管理委员会
上级财政拔款
湘阴县青潭乡财政所
国有资产
兴义市财政局
西城区国有资产经营公司
上海市奉贤区国有资产监督管理委员会
上海市军天湖农场社区管理委员会
吉县壶口开发区管委会
贵州盘北经济开发区管理委员会
西林县财政局
丽江市古城区国际空港经济区管理委员会
市国有资产经营管理公司
铁岭市政府国有资产监督管理委员会
长阳土家族自治县大堰财政所
双鸭山市尖山区国有资产监督管理局
宁波市奉化区财政局
常熟市财政局
武威市财政局
威海市国有资产管理局
安丰公社管委会
张家口市国有资产监督管理委员会（）
和林格尔县财政局
集体股（沙尾村集体资产管理委员会）
滁州市财政局
鄂尔多斯市东胜康巴什新区管理委员会
包头市九原区财政局
奉化市外贸国有资产经营有限公司
嘉兴市国有资产管理局
陵县国有资产管理局
新密市国有资产管理办公室
昌乐县国有资产运营中心
成都市国有资产管理局
彰武县国有资产监督管理局
海宁市硖石镇集体资产管理委员会
杭州余杭区临平街道集体资产管理委员会
杭州市财政局
济南高新技术产业开发区管理委员会国有资产监督管理委员会办公室
大石桥有色金属（化工）园区管委会
宁波经济技术开发区国有资产管理中心
浦北县财政局
绍兴市小舜江工程管委会工会
汕头市龙湖区国有资产管理办公室
渭南高新技术产业开发有试验区财政局
宜兴市国资局
赤峰市松山区国有资产管理局
市商业管理委员会
拉萨市人民政府国有资产监督管理委员会
独山县财政局
张家港市塘桥镇集体资产管理委员会
江苏丹徒经济开发区管理委员会
江苏省丹阳经济开发区管理委员会
涂山管委会
青岛市财政资产管理中心
莱芜农业高新技术产业示范区管理委员会
株洲市人民政府国有资产监督管理委员会
汉中市政府国有资产监督管理委员会
当涂县人民政府国有资产监督管理委员会
昆明高新技术产业开发区管理委员会
北京市海淀区财政局
晋城市人民政府国有资产监督管理委员会
苏州市吴中区人民政府国有资产监督管理办公室
县财政局
温州市洞头区人民政府国有资产监督管理办公室
赣州市国有资产监督管理委员会
衡南县国有资产管理局
自贡市大安区国有资产经营投资有限责任公司
海口市政府国有资产监督管理委员会
修水县国有资产监督管理局
黑龙江巴彦经济开发区管理委员会
佳木斯市人民政府国有资产监督管理委员会
阳山县七拱镇财政所
吉林松原石油化学工业循环经济园区财政管理办公室
乌苏市兴财国有资产经营有限责任公司
商河县财政局
连城县国有资产运营中心
宁南县国有资产监督管理局
萍乡市财政局
万年县国有资产事务中心
道孚县国有资产投资有限责任公司
金昌市人民政府国有资产监督管理委员会
阿勒泰地区国有资产投资经营有限责任公司（国有控股）
抚州市临川温泉景区管理委员会
国有资产
